latent_1,latent_2,latent_3,latent_4,latent_5,latent_6,latent_7,latent_8,latent_9,latent_10,latent_11,latent_12,latent_13,latent_14,latent_15
11.131594,19.883274,3.2863517,10.199535,14.705973,9.326903,14.07776,23.164385,21.508936,0,14.603188,32.37715,20.331888,11.237002,18.837507
5.9402876,19.519377,11.022668,13.348526,6.7262416,3.963815,21.35983,21.66487,14.122289,0,8.871961,16.02149,24.300198,14.860367,5.5681486
14.808004,24.315815,17.316526,7.669309,6.347652,16.3353,11.4724865,14.675395,15.695662,0,6.0539317,3.8559327,9.752302,8.962872,14.474521
11.432235,7.2506347,9.166546,7.4012685,5.8808174,4.6970396,5.0985556,7.4687595,5.0048847,0,3.6576385,3.2455783,6.521689,4.2987146,9.65463
9.610612,6.154034,8.185325,8.812736,10.054516,5.3541384,3.5206294,8.466421,4.868592,0,1.7718028,8.370467,12.259323,10.234717,17.979609
15.202517,11.180794,8.202527,9.276424,14.653592,6.5250406,10.806096,7.884628,8.173609,0,7.892471,7.191298,14.61149,9.9065895,18.13631
8.730937,8.204495,6.9392686,3.6378675,4.928366,1.5055107,9.4147215,6.8152733,8.229214,0,5.7955627,9.795425,12.856516,15.766274,19.858656
15.342359,14.357362,14.564344,9.600287,10.245078,3.4145272,12.322176,2.5767376,13.689667,0,14.973885,11.760032,19.238895,13.770379,24.95768
17.371248,7.8759375,13.7749195,19.257214,14.235779,2.738907,4.7853565,11.671888,6.324249,0,6.7223196,11.387889,13.888959,9.872855,8.277217
7.502045,13.1271,14.765569,13.6621,6.9818335,8.030747,4.8583527,13.782287,13.879928,0,2.448863,14.018484,14.661723,15.647346,14.328921
11.4911375,12.154608,12.904951,13.928305,15.876194,13.147666,12.8421,17.320154,14.281459,0,7.4276175,13.102779,17.703203,11.219406,10.968088
10.482557,11.251108,9.983542,11.316107,15.239923,10.343005,9.829301,16.571213,12.693777,0,10.007733,10.659226,12.296601,8.583249,9.081346
15.343645,18.938349,19.28412,9.774721,19.283709,14.681427,9.624415,19.317436,15.895172,0,17.078636,13.678484,14.873366,10.921466,17.182463
12.593763,16.866468,15.191103,5.5151796,9.09009,3.6080966,6.2283278,14.487201,7.5466557,0,7.339135,12.120967,10.9605665,11.265859,13.925927
16.902407,21.279469,17.065645,9.167507,6.73435,5.9341383,10.9585705,13.117301,9.907179,0,9.707001,15.021506,14.569834,13.056193,14.609086
22.238634,23.066114,21.121773,18.049273,4.9569044,11.035503,9.988658,17.866913,11.447956,0,12.001424,24.771776,17.805105,24.908695,16.948595
1.791033,17.803877,17.602686,22.427584,17.195805,20.9499,21.970505,16.449392,11.980294,0,11.2234335,16.346827,10.383583,12.518662,11.66302
7.7651443,11.810552,15.779945,7.012325,16.371258,10.149363,27.669842,0,12.622128,0,10.28824,18.561628,8.922796,8.752017,15.922541
21.5234,17.61696,17.848135,9.357177,15.75706,5.794599,25.24427,3.4856968,0,0,13.890722,12.701943,4.4791727,13.304304,7.991735
29.6279,24.306961,20.944075,19.83076,7.3654885,18.13424,7.40948,20.258839,6.770647,0,0.5229331,12.249257,8.80401,19.860851,9.167848
12.437367,12.243367,12.999048,35.90451,6.0800567,20.059246,9.063708,13.492787,11.17004,0,2.7594543,14.906723,7.2095094,13.208878,6.8667874
1.61651,0,2.9145901,22.697668,10.820555,13.879239,5.014473,16.45988,14.857066,0,4.687487,18.355335,0,14.178867,4.8564253
3.19985,6.3357935,0,8.506918,25.411303,8.484707,11.974747,22.106148,19.044237,0,2.2478938,16.227537,6.8970485,10.008984,0
0,21.604012,15.192398,3.012475,19.903866,11.3782215,23.433191,22.274258,17.32701,0,5.2181864,4.269686,1.1258905,5.8362412,4.7207866
14.93101,21.43469,14.988723,7.9396834,12.180194,12.972834,8.579913,16.990105,6.612768,0,12.493852,13.5151,25.75886,7.0293775,16.839497
16.633905,11.409807,18.53798,6.099784,5.389765,17.137178,9.499564,22.729486,10.854778,0,12.364684,13.58636,19.413012,9.815034,15.295154
20.296091,8.989765,13.885948,18.015856,12.490291,18.883259,0.7923993,27.870314,8.89513,0,13.144652,17.619078,20.611715,3.4767733,13.311566
11.079925,10.994733,14.739209,16.555067,17.960367,16.02533,2.5431588,25.471695,12.239393,0,15.667771,14.188977,19.682613,5.3425636,9.978487
2.64648,17.335634,12.97028,12.440842,19.24247,16.703178,9.360876,17.71806,14.649134,0,15.706625,18.2768,18.796217,8.72763,14.040035
8.923397,20.293243,15.16924,3.7808485,16.950254,13.404026,14.796654,16.435455,13.30266,0,13.80332,19.378248,15.775541,11.129409,18.829054
14.819005,19.494215,14.30325,6.262414,6.6855674,11.464811,8.147026,16.898422,7.3669353,0,13.1588,8.503183,15.705217,7.896794,9.296243
14.098291,9.067575,13.480064,9.813582,5.487402,11.718482,4.203081,13.255733,4.187392,0,8.163634,5.426816,11.997583,5.3913593,10.525723
11.130841,6.223715,8.272127,2.1683145,3.5734038,3.2613275,7.796772,9.445977,4.0881376,0,5.751094,12.605327,11.46407,6.28155,14.29672
15.217381,12.828478,12.204569,13.816869,7.071681,5.7091913,8.468208,9.764755,7.491724,0,9.615281,10.626032,15.4182,7.733059,16.902546
11.407507,10.307494,8.133527,9.424595,7.4236197,5.9482226,2.8068454,8.997319,6.0042515,0,7.9432206,11.912361,13.594731,12.855032,18.21716
9.763911,8.979421,11.270591,12.56612,11.12998,13.220384,8.373688,3.7302194,9.030634,0,12.987223,6.9376607,19.435297,14.2179575,9.870166
14.502871,11.890172,12.869911,8.871422,11.390706,5.0474806,19.021294,1.3046521,12.275072,0,9.112307,7.2309093,14.404435,16.026915,18.374569
21.25559,12.8301,10.694915,9.086534,11.7572565,7.5554347,9.131209,2.7246208,10.073434,0,10.461412,6.6152053,5.2883472,14.648492,15.702521
15.856001,18.114527,9.903564,13.193351,7.527763,7.165263,17.238638,3.7758765,14.397604,0,6.3463287,8.058121,17.028084,19.958384,23.155975
25.390522,20.813269,19.717354,20.419535,7.6093698,8.202839,23.217278,7.298778,17.565403,0,14.07544,17.9667,14.136753,26.09054,25.329674
14.348854,27.201433,17.973558,4.8045287,11.798807,12.969986,12.040656,22.186869,24.49712,0,17.229609,21.94322,26.123724,18.247583,27.784939
12.986989,16.555513,14.651328,4.569246,9.647872,0,8.015354,8.633531,13.49209,0,15.02581,12.924101,22.568527,15.564647,21.454168
16.850544,11.388761,13.65177,1.4209216,2.547472,2.349576,1.1273445,13.41415,16.71354,0,8.146173,11.638273,23.331503,24.182001,13.455171
20.281187,21.559652,15.906669,26.187683,4.298856,8.591066,6.0635595,14.339406,24.93373,0,20.37018,7.5898643,32.582554,15.364722,13.901364
9.116038,12.018055,8.77974,10.778461,9.186884,1.0951608,0.06705189,24.31114,18.2073,0,10.530205,18.344206,14.107335,24.375782,24.59742
12.148022,10.7678995,0,10.684152,13.138437,4.7734017,0.26206267,19.960928,26.24193,0,0,14.760071,19.35434,7.437368,13.451596
7.037738,15.190975,12.400117,11.62003,8.200114,0.7906255,17.994242,30.557285,26.5498,0,12.932457,5.823094,16.328228,10.148242,15.19579
5.1211495,31.082064,13.471124,3.7268047,11.900498,14.884695,8.273392,30.532595,22.26956,0,8.684179,21.401276,6.881066,11.484416,28.576231
12.212681,23.117435,6.877942,6.3523893,28.793367,8.350309,12.158264,31.169807,24.658516,0,18.226257,15.83654,3.6941533,11.895433,11.139726
9.627749,29.964333,9.29001,0,27.004538,17.30584,21.292389,33.49505,20.635565,0,12.863177,14.476303,17.199923,11.780618,16.063889
11.040267,28.945406,13.846975,3.4719467,9.111301,19.14281,18.642246,28.674526,10.341429,0,9.835045,5.0934715,11.65841,7.534513,16.38713
9.543322,15.958668,13.571878,5.531549,5.8669486,23.542192,2.8264444,23.86289,4.481097,0,12.59836,5.3854184,15.376362,5.934303,19.090302
9.878291,6.9444613,5.896992,10.0575485,6.6569624,8.897098,6.5595493,12.116779,3.6049254,0,13.050261,6.9018865,20.558308,0,13.572794
15.075974,7.826358,15.745685,5.3800178,11.52333,5.1475267,10.974409,12.756667,6.3524113,0,18.594702,9.6542225,12.30994,8.933805,20.169775
17.112902,12.673071,5.348888,2.7272296,8.680125,6.4910192,0.006333306,15.898939,8.005102,0,6.7333455,14.018787,18.066381,13.387976,13.517827
16.436724,8.258247,13.188419,11.808888,1.038779,8.733058,17.68751,18.427807,16.790407,0,12.229965,9.269602,19.723171,5.8508315,9.717048
4.439525,2.3369548,7.3342133,2.4067163,13.581589,18.500967,10.444357,18.487032,10.521349,0,8.147253,11.472654,16.259827,8.667941,1.4358782
7.4680476,14.488189,11.113485,11.399193,10.859762,10.649391,19.672455,10.027228,8.005787,0,14.258936,10.252117,6.1219764,0,5.162378
10.207591,17.92006,9.922433,2.5042262,15.738024,19.291224,0,22.094221,7.223113,0,18.05427,0.2344326,6.4927278,7.118579,9.399204
5.1299305,15.918403,1.3478233,8.792199,12.707923,19.646673,7.606635,9.324203,3.657366,0,1.4604326,3.5567641,14.58045,0,8.052896
17.011236,4.153741,23.46081,13.100625,17.016615,16.868822,33.10714,14.316654,8.193869,0,23.264479,15.861681,14.50729,9.723962,15.14585
26.875309,10.511814,11.559482,9.859684,16.505747,23.4848,16.212587,6.7146773,4.79747,0,15.704812,16.100973,8.412667,9.311587,11.484293
32.25362,12.5147505,12.909796,22.360367,19.84381,19.193094,15.149374,23.65059,2.6393468,0,18.239416,15.287524,16.627537,18.500559,0
26.154488,19.55346,20.536806,31.82572,20.135403,36.16015,20.205622,20.002296,20.725885,0,22.626848,20.278913,14.796433,16.619505,15.163118
31.343779,39.401516,19.783922,24.636244,29.080662,14.871108,31.252832,9.645267,40.600597,0,14.001183,18.033108,18.640116,46.776432,27.559118
29.281385,40.7624,20.023123,25.428371,23.722185,14.534408,30.049953,11.693624,38.287518,0,16.851486,16.472801,17.27091,47.12295,25.6693
37.507088,31.788767,22.461733,19.547998,23.984526,18.463476,16.829031,20.67014,42.961178,0,6.012303,23.071203,13.623054,57.532818,10.919419
